date,vehicle,vehicle_name,vehicle_type,capacity_kg,used_capacity_kg,store,arrival_min,arrival_time,tw_start_min,tw_end_min,tw_start_time,tw_end_time,load_kg
2026-01-02,13,Fixed-All Over JH-14,Fixed,1800,1708,AM Bariatu Housing RNC,473,07:53,360,480,06:00,08:00,1708
2026-01-02,14,Fixed-All Over JH-15,Fixed,1800,1763,AM Babugaoun Chowk New HZB,480,08:00,480,600,08:00,10:00,653
2026-01-02,14,Fixed-All Over JH-15,Fixed,1800,1763,ASM Sinchai Colony Chowk HB,498,08:18,480,600,08:00,10:00,943
2026-01-02,14,Fixed-All Over JH-15,Fixed,1800,1763,AM Julu Park HB,516,08:36,420,540,07:00,09:00,1634
2026-01-02,14,Fixed-All Over JH-15,Fixed,1800,1763,AM Indrapuri Ratu Rd RNC,691,11:31,660,780,11:00,13:00,1763
2026-01-02,15,Fixed-All Over JH-16,Fixed,1800,1722,AM Ramnagar HZB,501,08:21,420,540,07:00,09:00,816
2026-01-02,15,Fixed-All Over JH-16,Fixed,1800,1722,AM Kallu Chowk HZB,518,08:38,420,540,07:00,09:00,1182
2026-01-02,15,Fixed-All Over JH-16,Fixed,1800,1722,AM Sindoor HZB,540,09:00,540,660,09:00,11:00,1662
2026-01-02,15,Fixed-All Over JH-16,Fixed,1800,1722,AM Ratu Rd Kamre RNC,696,11:36,720,840,12:00,14:00,1722
2026-01-02,16,Fixed-All Over JH-17,Fixed,1800,1782,AM Markham HZB,480,08:00,480,600,08:00,10:00,144
2026-01-02,16,Fixed-All Over JH-17,Fixed,1800,1782,AM Zakir Hussain Rd HZB,498,08:18,420,540,07:00,09:00,476
2026-01-02,16,Fixed-All Over JH-17,Fixed,1800,1782,AM Hurhuru Chowk HZB,540,09:00,540,660,09:00,11:00,944
2026-01-02,16,Fixed-All Over JH-17,Fixed,1800,1782,AM New Nutan Nagar HZB,560,09:20,540,660,09:00,11:00,1782
2026-01-02,17,Fixed-All Over JH-18,Fixed,1800,1782,AM Doranda RNC,418,06:58,360,480,06:00,08:00,280
2026-01-02,17,Fixed-All Over JH-18,Fixed,1800,1782,AM Chutia Main Road RNC,437,07:17,360,480,06:00,08:00,464
2026-01-02,17,Fixed-All Over JH-18,Fixed,1800,1782,ASM Lower Chutia,453,07:33,420,540,07:00,09:00,1541
2026-01-02,17,Fixed-All Over JH-18,Fixed,1800,1782,AM Bargain RNC,480,08:00,480,600,08:00,10:00,1782
2026-01-02,18,Adhoc-Ranchi-1,Adhoc,1800,1753,AM Argora KM Road RNC,648,10:48,600,720,10:00,12:00,1345
2026-01-02,18,Adhoc-Ranchi-1,Adhoc,1800,1753,AM Sail City RNC,669,11:09,660,780,11:00,13:00,1630
2026-01-02,18,Adhoc-Ranchi-1,Adhoc,1800,1753,AM Upper Hatia Rd Hatia RNC,694,11:34,720,840,12:00,14:00,1753
2026-01-02,19,Adhoc-Ranchi-2,Adhoc,1800,1648,AM Manifit Rd Kalimali JSR,434,07:14,600,720,10:00,12:00,105
2026-01-02,19,Adhoc-Ranchi-2,Adhoc,1800,1648,AM E W Link A Rd Sonari JSR,465,07:45,600,720,10:00,12:00,222
2026-01-02,19,Adhoc-Ranchi-2,Adhoc,1800,1648,AM Super Store Harmu RNC,693,11:33,660,780,11:00,13:00,1648
2026-01-03,0,Fixed-All Over JH-1,Fixed,2000,1836,AM Bariatu Housing RNC,459,07:39,360,480,06:00,08:00,404
2026-01-03,0,Fixed-All Over JH-1,Fixed,2000,1836,AM PITAMBRAM PALACE RNC,480,08:00,480,600,08:00,10:00,1836
2026-01-03,1,Fixed-All Over JH-2,Fixed,2000,3856,AM Ramnagar HZB,452,07:32,420,540,07:00,09:00,1249
2026-01-03,1,Fixed-All Over JH-2,Fixed,2000,3856,AM Zakir Hussain Rd HZB,468,07:48,420,540,07:00,09:00,1859
2026-01-03,1,Fixed-All Over JH-2,Fixed,2000,3856,AM Premnagar Rd No 3 Latma RNC,665,11:05,660,780,11:00,13:00,1316
2026-01-03,1,Fixed-All Over JH-2,Fixed,2000,3856,ASM Imli Chowk Harmu,693,11:33,720,840,12:00,14:00,1856
2026-01-03,2,Fixed-All Over JH-3,Fixed,2000,1933,AM Lalpur RNC,480,08:00,480,600,08:00,10:00,493
2026-01-03,2,Fixed-All Over JH-3,Fixed,2000,1933,AM Cheshire Home Road RNC,501,08:21,480,600,08:00,10:00,1593
2026-01-03,2,Fixed-All Over JH-3,Fixed,2000,1933,ASM Aayodhya Puri RC,517,08:37,480,600,08:00,10:00,1933
2026-01-03,3,Fixed-All Over JH-4,Fixed,2000,1900,AM Kallu Chowk HZB,519,08:39,420,540,07:00,09:00,542
2026-01-03,3,Fixed-All Over JH-4,Fixed,2000,1900,AM Sindoor HZB,541,09:01,540,660,09:00,11:00,1340
2026-01-03,3,Fixed-All Over JH-4,Fixed,2000,1900,ASM Sinchai Colony Chowk HB,561,09:21,480,600,08:00,10:00,1900
2026-01-03,4,Fixed-All Over JH-5,Fixed,2000,1968,AM Kusai Colony RNC,488,08:08,420,540,07:00,09:00,413
2026-01-03,4,Fixed-All Over JH-5,Fixed,2000,1968,AM TAGORE HILL RNC,577,09:37,480,600,08:00,10:00,1479
2026-01-03,4,Fixed-All Over JH-5,Fixed,2000,1968,AM Indrapuri Ratu Rd RNC,660,11:00,660,780,11:00,13:00,1968
2026-01-03,5,Fixed-All Over JH-6,Fixed,1800,1775,AM Tatisilwai Chowk RNC,523,08:43,420,540,07:00,09:00,503
2026-01-03,5,Fixed-All Over JH-6,Fixed,1800,1775,AM Tatisilway Rd RNC,540,09:00,540,660,09:00,11:00,728
2026-01-03,5,Fixed-All Over JH-6,Fixed,1800,1775,AM Bargain RNC,568,09:28,480,600,08:00,10:00,1775
2026-01-03,6,Fixed-All Over JH-7,Fixed,1800,1785,AM Shiv Mandir Rd Parsudih JSR,447,07:27,420,540,07:00,09:00,721
2026-01-03,6,Fixed-All Over JH-7,Fixed,1800,1785,AM New Parsudih JSR,463,07:43,480,600,08:00,10:00,1151
2026-01-03,6,Fixed-All Over JH-7,Fixed,1800,1785,AM Rd Number 10 Adityapur 2 JSR,488,08:08,540,660,09:00,11:00,1785
2026-01-03,7,Fixed-All Over JH-8,Fixed,1800,1752,AM TELCO NEW JSR,441,07:21,600,720,10:00,12:00,527
2026-01-03,7,Fixed-All Over JH-8,Fixed,1800,1752,AM MANGO 15 JSR,472,07:52,480,600,08:00,10:00,1042
2026-01-03,7,Fixed-All Over JH-8,Fixed,1800,1752,AM Chepapul JSR,488,08:08,480,600,08:00,10:00,1752
2026-01-03,8,Fixed-All Over JH-9,Fixed,1800,1756,ASM Chhota Govindpur JD,438,07:18,540,660,09:00,11:00,996
2026-01-03,8,Fixed-All Over JH-9,Fixed,1800,1756,AM Baradwari JSR,468,07:48,540,660,09:00,11:00,1544
2026-01-03,8,Fixed-All Over JH-9,Fixed,1800,1756,AM E W Link A Rd Sonari JSR,492,08:12,600,720,10:00,12:00,1756
2026-01-03,9,Fixed-All Over JH-10,Fixed,1800,1737,AM Hinoo Chowk RNC,360,06:00,360,480,06:00,08:00,220
